Frame	Time	PELO_X	PELO_Y	PELO_Z	PELP_X	PELP_Y	PELP_Z	LKJC_X	LKJC_Y	LKJC_Z	LHJC_X	LHJC_Y	LHJC_Z	LAJC_X	LAJC_Y	LAJC_Z	RHJC_X	RHJC_Y	RHJC_Z	RKJC_X	RKJC_Y	RKJC_Z	RAJC_X	RAJC_Y	RAJC_Z	LTOO_X	LTOO_Y	LTOO_Z	RTOO_X	RTOO_Y	RTOO_Z	TRXO_X	TRXO_Y	TRXO_Z	TRXP_X	TRXP_Y	TRXP_Z
44	0.44	205.5026855	-3287.892334	827.5373535	195.6964111	-3250.795898	954.4395142	108.8927231	-3402.022949	468.9337463	139.6977234	-3295.234863	824.3909912	130.5695953	-3692.548096	165.7927246	271.3076477	-3280.548584	830.6834717	274.8848572	-3159.411621	479.0820313	247.3980103	-3113.301514	70.03000641	106.1198044	-3617.178711	38.4487381	272.0292053	-2962.239746	66.25254059	169.7654114	-3170.862793	1317.324829	180.2625427	-3174.650879	1120.958252
45	0.45	206.5344391	-3273.870361	828.6640625	196.7320862	-3236.868896	955.5941772	108.0168991	-3376.840088	467.0263367	140.6982422	-3280.881592	825.4157104	130.1591492	-3673.89624	173.7979126	272.370636	-3266.859131	831.9121094	275.4466858	-3149.474854	479.8050232	247.1998444	-3112.330078	70.16887665	106.7444687	-3604.247803	43.0475769	271.5649109	-2961.268066	64.93974304	170.7167206	-3156.100342	1318.792114	181.0579681	-3159.876953	1122.569946
46	0.46	207.4275818	-3260.034912	829.9434204	197.7323761	-3223.133057	956.9108887	107.2521973	-3350.707764	465.32724	141.5553284	-3266.668457	826.633728	129.9620514	-3653.310791	181.5213165	273.2997437	-3253.400391	833.2528076	276.1940308	-3141.384033	480.1230164	247.100647	-3112.016113	70.35619354	107.2621307	-3587.744385	48.55269241	271.0734558	-2960.924072	64.24763489	171.5682983	-3141.45459	1320.387573	181.755127	-3145.236816	1124.307251
47	0.47	208.2000122	-3246.342529	831.3602295	198.7046356	-3209.553467	958.3754272	106.6064835	-3323.809082	463.9441833	142.2898407	-3252.578125	828.0314331	129.9777222	-3630.825439	188.7250214	274.1101074	-3240.106201	834.6887817	276.9649353	-3134.300781	480.3339844	247.052887	-3111.958984	70.57985687	107.6149902	-3567.619629	54.56189728	270.6950073	-2960.838379	63.92329025	172.3107758	-3126.944824	1322.088623	182.3466034	-3130.752686	1126.144043
48	0.48	208.8716888	-3232.750488	832.8972168	199.6579132	-3196.09375	959.9713745	106.0829468	-3296.337402	462.9803162	142.9241028	-3238.590576	829.5928345	130.200592	-3606.502441	195.1647949	274.8192444	-3226.909424	836.2015381	277.6174316	-3127.66626	480.6066284	247.0033569	-3111.881104	70.81460571	107.7553558	-3543.988281	60.69174194	270.514679	-2960.757568	63.77421951	172.9380646	-3112.581543	1323.870483	182.8279572	-3116.437256	1128.051636
49	0.49	209.4620514	-3219.218262	834.5359497	200.6009216	-3182.717529	961.6800537	105.6809387	-3268.488525	462.526062	143.479126	-3224.685547	831.2994995	130.6175385	-3580.429443	200.6090698	275.4449158	-3213.750244	837.7720947	278.0564575	-3121.192871	480.9975586	246.9114685	-3111.625977	71.03397369	107.6464691	-3517.088867	66.6124649	270.5626526	-2960.539063	63.67261124	173.4477386	-3098.373535	1325.709961	183.1985779	-3102.299072	1130.004028
50	0.5	209.9878998	-3205.713867	836.2560425	201.5400848	-3169.394531	963.4803467	105.3959961	-3240.45874	462.650177	143.9727631	-3210.847412	833.1306763	131.2042694	-3552.715576	204.8566895	276.0029602	-3200.580322	839.3812256	278.2558594	-3114.790283	481.4942932	246.7608032	-3111.134033	71.21855164	107.2628098	-3487.236816	72.06297302	270.8256531	-2960.128418	63.54467392	173.8409729	-3084.323242	1327.582397	183.4610138	-3088.338623	1131.973999
51	0.51	210.4609833	-3192.215332	838.0360107	202.4781952	-3156.102783	965.3491211	105.2195816	-3212.435303	463.3931274	144.4172211	-3197.0625	835.0626831	131.9233704	-3523.478027	207.7462311	276.5047302	-3187.36792	841.0090942	278.2477417	-3108.487061	482.0523376	246.5561829	-3110.408447	71.35986328	106.5881805	-3454.789795	76.84565735	271.263031	-2959.523682	63.35600281	174.1220703	-3070.429688	1329.463501	183.6209259	-3074.550781	1133.935547
52	0.52	210.8874207	-3178.708984	839.8521118	203.4139862	-3142.82666	967.2611084	105.1393967	-3184.588867	464.7619019	144.8186188	-3183.322754	837.0689087	132.7252502	-3492.833496	209.1628265	276.9561768	-3174.095459	842.6350098	278.0918579	-3102.373291	482.6199646	246.312912	-3109.492676	71.46079254	105.6144028	-3420.113037	80.82096863	271.8196106	-2958.760742	63.09977341	174.2984772	-3056.689209	1331.328979	183.6870575	-3060.926514	1135.864136
53	0.53	211.2668457	-3165.19165	841.6785889	204.3408508	-3129.558838	969.1884766	105.1401367	-3157.070068	466.7294006	145.1764832	-3169.622314	839.1202393	133.5511627	-3460.887451	209.0403595	277.3571167	-3160.759766	844.2368774	277.8442383	-3096.549561	483.1550903	246.0449829	-3108.447021	71.53361511	104.3399658	-3383.548096	83.89978027	272.4377136	-2957.889648	62.78538132	174.3801727	-3043.092773	1333.154785	183.6704407	-3047.452148	1137.735229
54	0.54	211.5926361	-3151.664307	843.487915	205.2480774	-3116.29541	971.1015625	105.2052917	-3130.003174	469.2362061	145.4839325	-3155.959717	841.1849365	134.3375397	-3427.728027	207.3612976	277.7012939	-3147.368164	845.7906494	277.5406494	-3091.098145	483.6331177	245.7583466	-3107.333008	71.59672546	102.7696533	-3345.390869	86.03986359	273.0646057	-2956.963379	62.42963028	174.3789368	-3029.628662	1334.916992	183.5842743	-3034.108887	1139.526733
55	0.55	211.8531036	-3138.135254	845.25	206.1206055	-3103.039063	972.9679565	105.3187408	-3103.486084	472.1958313	145.7289276	-3142.333252	843.2293701	135.0199127	-3393.423584	204.1568451	277.9772339	-3133.936279	847.270752	277.1925964	-3086.054688	484.0506287	245.4494324	-3106.199951	71.67110443	100.9164734	-3305.880371	87.24677277	273.6589966	-2956.025635	62.04943848	174.3079224	-3016.283691	1336.591064	183.4421387	-3020.878174	1141.215332
56	0.56	212.03302	-3124.611084	846.9346924	206.9414368	-3089.790527	974.7550659	105.4674606	-3077.586426	475.5014954	145.8959503	-3128.741699	845.2189331	135.5363464	-3358.019531	199.5025787	278.1700134	-3120.480713	848.6502075	276.7961121	-3081.405762	484.4212952	245.1083984	-3105.083252	71.77733612	98.80356598	-3265.192627	87.57092285	274.191864	-2955.108643	61.65808868	174.1810455	-3003.04248	1338.154419	183.2583466	-3007.739502	1142.781494
57	0.57	212.1153259	-3111.100586	848.5108032	207.6911774	-3076.553223	976.4301758	105.6420441	-3052.350342	479.0338745	145.9676514	-3115.182129	847.1191406	135.8296967	-3321.543457	193.5170135	278.2630005	-3107.018799	849.9021606	276.3414917	-3077.092773	484.7689819	244.723526	-3104.00293	71.93384552	96.46767426	-3223.449219	87.10756683	274.6457214	-2954.230957	61.26379013	174.0119171	-2989.885742	1339.585571	183.045929	-2994.668945	1144.205566
58	0.58	212.083786	-3097.607666	849.9488525	208.3518524	-3063.327148	977.9619751	105.8378677	-3027.802246	482.6687012	145.9273834	-3101.649658	848.8967285	135.8491974	-3284.006836	186.3556366	278.2401123	-3093.564453	851.0009155	275.821228	-3073.028076	485.1204834	244.2851257	-3102.968018	72.15615082	93.96004486	-3180.727783	85.98860168	275.0121765	-2953.404785	60.87010956	173.8135376	-2976.796875	1340.863159	182.8172455	-2981.646973	1145.469727
59	0.59	211.9244995	-3084.131348	851.2224121	208.905777	-3050.108154	979.3230591	106.0560608	-3003.948242	486.2846069	145.7611542	-3088.135254	850.520874	135.5514984	-3245.410156	178.2049408	278.0877991	-3080.126465	851.9237671	275.2335205	-3069.108154	485.4994507	243.7876282	-3101.981201	72.45718384	91.34547424	-3137.074463	84.37551117	275.2886658	-2952.632568	60.47745514	173.5974274	-2963.753662	1341.96875	182.5818176	-2968.649902	1146.557495
60	0.6	211.6281281	-3070.66626	852.3081665	209.338913	-3036.890625	980.4893188	106.3023376	-2980.78125	489.7696533	145.459259	-3074.626221	851.9639282	134.901535	-3205.751953	169.2778015	277.796936	-3066.706299	852.6521606	274.5827942	-3065.227051	485.9232788	243.2306213	-3101.044678	72.8478775	88.69896698	-3092.519775	82.45272064	275.4753418	-2951.919922	60.08585358	173.3731537	-2950.738281	1342.887573	182.3468018	-2955.659668	1147.456299
61	0.61	211.1906281	-3057.20459	853.1882324	209.6398773	-3023.667236	981.4431152	106.5870285	-2958.281494	493.0273743	145.0174866	-3061.106934	853.2030029	133.8738098	-3165.033691	159.8065033	277.3637085	-3053.301025	853.1732788	273.8780518	-3061.277344	486.4017029	242.618988	-3100.154785	73.33730316	86.09957123	-3047.091553	80.42105865	275.5762634	-2951.264648	59.69351578	173.1478577	-2937.729004	1343.605347	182.1168976	-2942.655762	1148.153442
62	0.62	210.6140289	-3043.72998	853.8500366	209.8024902	-3010.425537	982.1723633	106.9227219	-2936.419189	495.980957	144.437561	-3047.558594	854.2196655	132.4542389	-3123.269287	150.0381927	276.7904053	-3039.901367	853.4803467	273.1309204	-3057.157227	486.9365234	241.9627686	-3099.308105	73.93328094	83.62351227	-3000.828369	78.49424744	275.5970764	-2950.66333	59.29994965	172.9259033	-2924.708008	1344.11377	181.8930969	-2929.622559	1148.641846
